day,start_time,end_time,location,title,hosted_by,category,description,nsfw
friday,02:15:00 PM,03:45:00 PM,Jalisco B: Meeting room,Awoo!! TF Meet & Greet: Nuestras historias y comunidad,Kasey/Siân,Meet,"Awoo!!! Si amas las Transformations (TF) o solo tienes curiosidad, únete a esta amena charla ""Meet & Greet"" Compartiremos historias, ideas y anécdotas, desde cambios mágicos hasta los más salvajes!! en un ambiente divertido, diverso y creativo!",1
friday,04:00:00 PM,05:30:00 PM,Jalisco B: Meeting room,Confuloid,Kiba2412,Meet,Un espacio de convivencia para furros que aman los sintetizadores de voz (Vocaloid/UTAU/SynthV/etcétera).,0
friday,05:45:00 PM,07:00:00 PM,Jalisco B: Meeting room,¡El gran canta con nostros/trivia Disney!,"Katsu ""Las Garras del Ring""",Torneo,El panel consistiria de sets de canciones Disney en las que los asistentes podran cantar y bailar juntos para despues participar en retos de trivia disney que otorgaran pequeños premios a los ganadores.,0
friday,07:30:00 PM,08:30:00 PM,Jalisco B: Meeting room,"Un hotdog, ¿es un sándwich?",KnoxFox,Debate,"El panel se centrará en debatir si un hotdog se puede considerar un sándwich. Se dará una pequeña presentación acerca del concepto del debate, junto con el procedimiento. El resto del panel será poner a los asistentes en dos bloques, uno a favor, y otro en contra, debatiendo.",0
friday,08:45:00 PM,09:45:00 PM,Jalisco B: Meeting room,¿Tienes ideas y proyectos? Networking: Conectando mentes con talentos,Tigerlion Moikana,Meet,"¿Tienes una idea pero te faltan personas con otras habilidades? Ven conectar con talentos, ideas o inversionistas. Una hora para encontrar equipo y que los proyectos se vuelvan reales.",0
saturday,10:00:00 AM,11:00:00 AM,Jalisco B: Main Stage,Cómo puedo ayudar a la naturaleza desde casa,Almita Otter,Conferencia,"Todos podemos aportar incluso estado desde el hogar, si tenemos o no un talento o habilidad, lo importante es tener la voluntad. Te mostraremos como.",0
saturday,11:15:00 AM,12:15:00 PM,Jalisco B: Main Stage,¡Conociendo a takemoto!,Takemoto,Conferencia,En esta charla podremos conocer más de Takemoto y su Trayectoria además de que la audiencia podrá llevarse unas sorpresas preparadas por él. ,0
saturday,12:30:00 PM,01:30:00 PM,Jalisco B: Main Stage,Retos y riesgos del trabajo con fauna silvestre en México,Proyecto Tamandua (Organización de caridad),Conferencia,,0
saturday,01:45:00 PM,02:45:00 PM,Jalisco B: Main Stage,FurMonic Orchestra,Ensamble Músical,Concierto,,0
saturday,02:45:00 PM,03:45:00 PM,Jalisco B: Main Stage,¡Pepper Coyote en vivo!,Pepper Coyote,Concierto,Pepper returns to Mexico for his 4th (5th?) Confuror and he’s bringing his voice and guitar! Come hear furry favorites and cover songs alike. Guaranteed at least one song in Spanish!,0
saturday,04:00:00 PM,06:00:00 PM,Jalisco B: Main Stage,Floor Wars (Final),"Furry Trash, Confuror",Torneo,,0
saturday,06:30:00 PM,08:00:00 PM,Jalisco B: Main Stage,Eliminatoria pasarela,"La Manada Horny, Confuror",Torneo,Fiesta pagana,1
saturday,08:00:00 PM,09:00:00 PM,Jalisco B: Main Stage,Noche retro,DJ Mosca,DJ Set,"Desde Madonna y Rick Astley hasta Caló, OV7 y más",1
saturday,09:00:00 PM,10:00:00 PM,Jalisco B: Main Stage,Pasarela,"La Manada Horny, Confuror",DJ Set,Fiesta pagana,1
saturday,10:00:00 PM,11:00:00 PM,Jalisco B: Main Stage,Funkhaus Fever,"Knox, Khatru",DJ Set,"Un duo de DJ y bajo apasionado por el Disco, House y los buenos clásicos. Cuerdas gruesas y tornamesas para ponerte a bailar. ",1
saturday,11:00:00 PM,12:00:00 AM,Jalisco B: Main Stage,Bellakeo Fur Vol 3.0?!,Furry Trash,DJ Set,"Presentación de un DJ set de una hora de ritmos latinos mesclados con EDM, trayendo consigo la escencia de una fiesta al más estilo mexa al lado furro. Una presentación con todo el sabor del regueton, tech y guaracha; sazonado con bellakeo para un perreo sin limites.",1
saturday,12:00:00 AM,01:00:00 AM,Jalisco B: Main Stage,Bell-k,DJ Charlie,DJ Set,Fiesta pagana,1
saturday,10:00:00 AM,04:00:00 PM,Jalisco B: Artist Alley,Artist Alley,Confuror,Eventos principales,,0
saturday,05:15:00 PM,07:15:00 PM,Jalisco B: Artist Alley,¡Crea tú propia novela visual!,Quetzal Kintori,Taller,"En este taller veremos cómo desarrollar nuestra propia novela gráfica desde 0. Veremos los puntos más importantes a considerar al escribirla, así como las herramientas que podemos usar para ayudarnos.",0
saturday,07:45:00 PM,10:00:00 PM,Jalisco B: Artist Alley,Torneo LoreFurry,Torneo Furrycana,Torneo,"Torneo de Disney Lorcana donde solo se permitirán decks con personajes furry en formato estándar (Zootopia, Rey León, Mickey Mouse, etc.). El ganador se llevará una carta Enchanted de Scar, Heartless Hunter. Se puede jugar con cartas rotadas.",0
saturday,10:00:00 AM,11:30:00 AM,Jalisco A: Foro I (Montaje Escuela),Anatomía comparada: ¿Qué hace diferente a un lobo de un mapache?,Sakary Yoliztli,Taller,"Clase corta y practica de dibujo sobre anatomía comparada entre diferentes especies [Mamíferos, anfibios aves y reptiles ]",1
saturday,11:45:00 AM,12:45:00 PM,Jalisco A: Foro I (Montaje Escuela),Cómo tener una relación poli y no morir en el intento,"Knut, Grizz, Jat",Conferencia,"Experiencias, anecdotas y consejos para todos aquellos interesados en iniciar o mantener una relación poliamorosa, las cosas no son faciles pero la comunicación es clave.",1
saturday,01:00:00 PM,02:00:00 PM,Jalisco A: Foro I (Montaje Escuela),De cuento a leyenda: Mejora tú redacción,SeiferWolfDragon,Conferencia,"Panel sobre cómo mejorar la redacción y el storytelling, abordando el uso de clichés, tropos y estructura narrativa, así como cómo aprovecharlos al máximo y de manera creativa.",0
saturday,02:15:00 PM,03:00:00 PM,Jalisco A: Foro I (Montaje Escuela),Yuri y Raucous,"Yuri, Racucous",Meet,"Yuri es un tlacuache que siempre está ocupado y nunca lo encuentras disponible, es por eso que quiere apartar una hora dentro de la convención para poder convivir, tomarse fotos e interactuar con sus amigos de Confuror. Acompañado de su amigo Raucous.",0
saturday,08:00:00 PM,01:00:00 AM,Jalisco A: Foro I,Night Market,,Eventos principales,,1
saturday,10:00:00 AM,12:00:00 PM,Jalisco A: Foro I (Lounge general),SoftCombat,Dox,Torneo,"El Softcombat es un combate con armas comunmente relacionadas a la era medieval, espadas largas, espadas cortas, dagas, escudos, hachas, lanzas, etc. pudiendo considerarse como deporte y que a los años se ha visto muy a la sombra y comunmente en eventos de LARP",0
saturday,12:15:00 PM,01:15:00 PM,Jalisco A: Foro I (Lounge general),Garabatos para la caridad,Paco Panda y Roni,Eventos principales,"Fursuiters con crayones gigantes dibujando para ti. Aunque no sean obras maestras, puedes conseguir un dibujo de alguno de nuestros artistas donando durante este evento, el cual será destinado para la caridad.",0
saturday,01:30:00 PM,03:00:00 PM,Jalisco A: Foro I (Lounge general),¡Coffee and draw!,Nainty,Meet,"La versión apta para todo el público, compartiendo una buena bebida (no alcohólica) mientras trabajas en pendientes o simplemente decides dibujar libremente, también para conocer gente nueva o empaparte de la comunidad artística furry",0
saturday,10:00:00 AM,11:30:00 AM,Jalisco B: Foro II,Cómo la música académica dejó de resonar en la cultura popular,,Conferencia,,0
saturday,11:45:00 AM,12:45:00 PM,Jalisco B: Foro II,Cómo despertar a la princesa (Primeros auxilios básicos en la vida),Butter Doggy,Conferencia,Disponible para todo aquel furrito que este interesado en saber como responder ante algunas emergencias de la vida. Esta platica te ayudara a tener las herramientas básicas para poder ayudar durante una emergencia hasta el arribo de una ambulancia o que llegues al hospital.,0
saturday,01:00:00 PM,02:30:00 PM,Jalisco B: Foro II,Furros sin bañar; ¿Porqué nos atraé el olor corporal?,Sasanntai,Conferencia,"Furros sin bañar y axilas es un panel orientado a responder la pregunta “¿por qué nos atrae el olor corporal?” desde un enfoque científico, así como tratar de elucidar por qué es algo tan prevalente dentro del Furry fandom, siendo un punto de encuentro para entusiastas del musk.",1
saturday,02:45:00 PM,04:15:00 PM,Jalisco B: Foro II,Hagamos un Collab,Oren Juice,Taller,"Es una actividad para poner manos a la obra, entre todos vamos a idear y dibujar. No importa si no eres un experto ideando o dibujando personajes originales, mediante ejercicios creativos daremos vida a estos personajes.",0
saturday,04:30:00 PM,06:30:00 PM,Jalisco B: Foro II,Transfuror,Anju Hope e Impulso Trans,Conferencia,"Reunión para personas Trans (transexuales, no binaries, agénero, etc.). Este año, Impulso Trans es nuestro invitado,nos hablaran sobre su asociación, resolverá dudas y ofrecerá información sobre los servicios que existen en Jalisco.",0
saturday,06:45:00 PM,08:15:00 PM,Jalisco B: Foro II,"Gestión de placeres: salud, educación y sexualidad",It Gets Better México,Conferencia,"Esta charla busca generar un espacio seguro, respetuoso y libre de prejuicios donde se aborden temas fundamentales relacionados con el autocuidado físico, emocional y sexual. Invitando a la reflexión y la importancia de cuidarse a si mismos.",1
saturday,08:30:00 PM,10:00:00 PM,Jalisco B: Foro II,Crayones nocturnos: Party Soft!,Confetti Catto,Torneo,¿Quieres seguir la fiesta pero la rave es muy ruidosa o mucho para ti? Ven a colorear con crayones o con tus propios materiales en un ambiente tranquilo y conviviendo con otros. ¡Party Soft!,0
saturday,10:00:00 AM,11:00:00 AM,Jalisco B: Foro III,Story Hour,Uncle Kage,Conferencia (Ingles),Classic,0
saturday,11:15:00 AM,12:45:00 PM,Jalisco B: Foro III,Perros que cambian vidas,Paola Ramos,Conferencia,"Aprenderán sobre los perros de asistencia, su impacto en la vida de las personas con discapacidad o condiciones crónicas de salud (epilepsia, diabetes, autismo, etc.) y cómo les apoyan a recuperar su autonomía y bienestar.",0
saturday,01:00:00 PM,02:30:00 PM,Jalisco B: Foro III,Convenciones furry en Chile: La historia detrás de SAFE y Pawstral,Loki Krampus,Conferencia,"Convenciones al extremo sur del continente ¿Cómo va eso? En esta charla te mostramos el trabajo de SAFE y Pawstral, como fueron sus primeras ediciones, sus virtudes y desafíos. Que se viene para Chile el próximo año y que debes saber si quieres viajar y participar en ellas.",1
saturday,02:45:00 PM,04:45:00 PM,Jalisco B: Foro III,Furros sin fronteras,"Sacris, Max",Meet,"Prepárate para un recorrido del fandom por Latinoamérica. En este panel, exploramos cómo el furry fandom, desde los tacos de México hasta las arepas de Colombia. A través de anécdotas, comparaciones culturales hablaremos de nuestras diferencias, coincidencias.",0
saturday,05:00:00 PM,06:30:00 PM,Jalisco B: Foro III,Colores polarizados,ASTEREETO,Conferencia,"En esta plática, hablaremos de manera avanzada la teoría del color, iremos desde las bases hasta lo más experimentado para entenderla y hablar el color de una forma estandarizada para que puedas reconocer como funciona el color y los diferentes modelos de color que existen.",0
saturday,06:45:00 PM,08:15:00 PM,Jalisco B: Foro III,MXN Makers vol. 2,Katsu and friends,Conferencia,"Exploraremos el proceso de creación de fursuits: desde el diseño y elección de materiales, hasta técnicas, herramientas y consejos para nuevos y curiosos makers. Todo lo se que necesitas saber para dar vida a tu personaje.",0
